Move_ID,Miscrit_ID,Move_Name,Element,AP,Accuracy,Description,Enchant
92,8,Lull,Utility,0.0,100%,Removes your elemental weakness with a 40% chance to put foe to Sleep for 1 turn,Replenishes 5 Health
93,8,Thump,Physical,20.0,95%,A very powerful Physical attack,Replenishes 5 Health
94,8,Hyper Power,Utility,0.0,100%,Raises your Attacks by 12,+2 to Buff
95,8,Hydro,Water,25.0,95%,A massively powerful Water attack,+4 Attack Power
96,8,Turtle Terror,Physical,8.0,100%,A simple Physical attack that hits 3 times and heals yourself by 12 HP,+1 Attack Power
97,9,Toughen Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
98,9,Wisp,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
99,9,Swipe,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
100,9,Shy Smile,Utility,0.0,100%,Lowers your foe's Attacks by 5,+1 to Debuff
101,9,Dirt Claw,Nature,10.0,100%,An average Nature attack,+2 Attack Power
102,9,Sleep,Utility,0.0,40%,"Puts your foe to Sleep for 2 turns, or until you attack them",Replenishes 5 Health
103,9,Claw,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
104,9,Sow,Nature,15.0,90%,A powerful Nature attack,+10% Accuracy
105,9,Venom,Utility,0.0,85%,"Poisons your foe, causing 14 damage for 3 turns",+10% Accuracy
106,9,Mother Nature,Nature,20.0,95%,A very powerful Nature attack,+4 Attack Power
107,9,Well Rounded,Utility,0.0,90%,Raises your Attacks and Defenses by 8,+10% Accuracy
108,9,Smackdown,Physical,25.0,95%,A massively powerful Physical attack that deals an additional 10 fixed damage to foe,+2 Attack Power
109,10,Cinders,Fire,7.0,100%,A simple Fire attack,+1 Attack Power
110,10,Ignite,Utility,0.0,100%,Raises your Elemental Attack by 11,+2 to Buff
111,10,Headbutt,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
112,10,Shy Smile,Utility,0.0,100%,Lowers your foe's Attacks by 5,+1 to Debuff
113,10,Fire Dance,Fire,10.0,100%,An average Fire attack,+2 Attack Power
114,10,Merciless,Utility,0.0,100%,Raises your Attacks by 9,+2 to Buff
115,10,Bash,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
116,10,Firewater,Utility,0.0,100%,Removes your elemental weakness,Replenishes 5 Health
117,10,Merlin's Beard,Utility,0.0,100%,Raises your Elemental Attack by 14,+3 to Buff
118,10,Passion,Fire,20.0,95%,A very powerful Fire attack,+5 Attack Power
119,10,Bright Lights,Utility,0.0,95%,Lowers your foe's Accuracy by 10%,+5% Accuracy
120,10,Wicked Flames,Fire,17.0,95%,A powerful Fire attack that hits two times,+5% Accuracy
121,11,Cinders,Fire,7.0,100%,A simple Fire attack,+1 Attack Power
122,11,Shields Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
123,11,Poison,Utility,0.0,95%,"Poisons your foe, causing 5 damage for 3 turns",+1 Attack Power
124,11,Bite,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
125,11,Flame Tail,Fire,10.0,100%,An average Fire attack,+2 Attack Power
126,11,Max Power,Utility,0.0,100%,Raises your Attacks by 9,+2 to Buff
127,11,Claw,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
128,11,Unbreakable,Utility,0.0,100%,Raises your Defenses by 11,+3 to Buff
129,11,Brimstone,Fire,20.0,95%,A very powerful Fire attack,+2 Attack Power
130,11,Thump,Physical,20.0,95%,A very powerful Physical attack,Replenishes 5 Health
131,11,Deep Sleep,Utility,0.0,40%,"Puts your foe to Sleep for 3 turns, or until you attack them",+20% chance of Stats Chaos
132,11,Growlferno,Fire,40.0,90%,An inmensely powerful Fire attack. 2 turns cooldown,+10% Accuracy
133,12,Weaken,Utility,0.0,100%,Lowers your foe's Defenses by 5,+1 to Debuff
134,12,Leaves,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
135,12,Bite,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
136,12,Flourish,Utility,0.0,100%,Raises your Elemental Attack by 8,+1 to Buff
137,12,Devil's Snare,Nature,10.0,100%,An average Nature attack,+2 Attack Power
138,12,Gilly Weed,Utility,0.0,100%,Removes your elemental weakness,Replenishes 5 Health
139,12,Claw,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
140,12,Merciless,Utility,0.0,100%,Raises your Attacks by 9,+2 to Buff
141,12,Mother Nature,Nature,20.0,95%,A very powerful Nature attack,+4 Attack Power
142,12,Surge,Physical,20.0,90%,A very powerful Physical attack that raises your Elemental Attack by 10,+10% Accuracy
143,12,Venom,Utility,0.0,85%,"Poisons your foe, causing 14 damage for 3 turns",+10% Accuracy
144,12,Venus Fly Trap,Nature,25.0,95%,A massively powerful Nature attack that inflicts Bleed for 4 turns,+4 Attack Power
145,13,Sustain,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
146,13,Leaves,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
147,13,Headbutt,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
148,13,Pollen,Utility,0.0,90%,Lowers your foe's Accuracy by 10%,+10% Accuracy
149,13,Stomp,Nature,10.0,100%,An average Nature attack,+3 Attack Power
150,13,Acid,Utility,0.0,100%,Lowers your foe's Elemental Defense by 11,+2 to Debuff
151,13,Reap,Nature,15.0,95%,A powerful Nature attack,Replenishes 5 Health
152,13,Merciless,Utility,0.0,100%,Raises your Attacks by 9,+2 to Buff
153,13,Harvest,Nature,10.0,90%,An average Nature attack that heals yourself by 10 HP,+10% Accuracy
154,13,Thump,Physical,20.0,95%,A very powerful Physical attack,Replenishes 5 Health
155,13,Toxic,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
156,13,Massive Tusks,Nature,14.0,100%,An average Nature attack that hits 2 times and grants 6 healing for 2 turns,+2 Attack Power
157,14,Sprinkle,Water,7.0,100%,A simple Water attack,+1 Attack Power
158,14,Spirit Shield,Utility,0.0,100%,Raises your Elemental Defense by 7,+1 to Buff
159,14,Swipe,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
160,14,Bright Lights,Utility,0.0,95%,Lowers your foe's Accuracy by 10%,+5% Accuracy
161,14,Soak,Water,10.0,100%,An average Water attack,+3 Attack Power
162,14,Whammy,Physical,10.0,100%,An average Physical attack,+2 Attack Power
163,14,Bewitch,Utility,0.0,100%,Lowers your foe's Elemental Attack by 10,+2 to Debuff
164,14,Toxic,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
165,14,Thump,Physical,20.0,95%,A very powerful Physical attack,Replenishes 5 Health
166,14,Geyser,Water,20.0,95%,A very powerful Water attack,+4 Attack Power
167,14,Merlin's Beard,Utility,0.0,100%,Raises your Elemental Attack by 14,+3 to Buff
168,14,Rip Tide,Water,9.0,100%,A simple Water attack that hits 3 times and heals yourself by 7 HP,+1 Attack Power
169,15,Weaken,Utility,0.0,100%,Lowers your foe's Defenses by 5,+1 to Debuff
170,15,Burn,Fire,7.0,100%,A simple Fire attack,+1 Attack Power
171,15,Headbutt,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
172,15,Toughen Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
173,15,Kanga Clobber,Physical,10.0,100%,An average Physical attack,+3 Attack Power
174,15,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
175,15,Campfire,Fire,15.0,95%,A powerful Fire attack,+3 Attack Power
176,15,Max Power,Utility,0.0,100%,Raises your Attacks by 9,+2 to Buff
177,15,Blitz,Physical,10.0,90%,An average Physical attack that hits 2 times,+10% Accuracy
178,15,Body Blocker,Utility,0.0,100%,Raises your Physical Defense by 13,+3 to Buff
179,15,Scorch,Fire,25.0,95%,A massively powerful Fire attack,Replenishes 10 Health
180,15,Rocket Punch,Physical,25.0,95%,A massively powerful Physical attack that raises your Physical Attack by 12,+6 Attack Power
181,16,Debaser,Utility,0.0,100%,Lowers your foe's Defenses by 5,+1 to Debuff
182,16,Leaves,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
183,16,Poke,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
184,16,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
185,16,Replenish,Utility,0.0,100%,Recovers a fair amount of your health,+5 Heal
186,16,Grow,Nature,10.0,100%,An average Nature attack,+2 Attack Power
187,16,Max Power,Utility,0.0,100%,Raises your Attacks by 9,+2 to Buff
188,16,Bash,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
189,16,Lotus,Nature,20.0,90%,A very powerful Nature attack,+10% Accuracy
190,16,Merlin's Beard,Utility,0.0,100%,Raises your Elemental Attack by 14,+3 to Buff
191,16,Destruction,Physical,25.0,90%,A massively powerful Physical attack,+10% Accuracy
192,16,Ent,Nature,25.0,95%,A massively powerful Nature attack that steals 8 HP from foe,+3 Attack Power
193,17,Shields Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
194,17,Spray,Water,7.0,100%,A simple Water attack,+1 Attack Power
195,17,Smack,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
196,17,Power Up,Utility,0.0,100%,Raises your Attacks by 5,+1 to Buff
197,17,Shell Splash,Water,10.0,100%,An average Water attack,+2 Attack Power
198,17,Acid Rain,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
199,17,Bash,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
200,17,Spring Shower,Water,15.0,95%,A powerful Water attack,+3 Attack Power
201,17,Debilitate,Utility,0.0,100%,Lowers your foe's Defenses by 11,+3 to Debuff
202,17,Overwhelm,Physical,20.0,90%,A very powerful Physical attack,+10% Accuracy
203,17,Sleep,Utility,0.0,40%,"Puts your foe to Sleep for 2 turns, or until you attack them",Replenishes 5 Health
204,17,Wave Slap,Water,25.0,95%,A massively powerful Water attack that Paralyzes foe for 2 turns,+4 Attack Power
205,18,Spray,Water,7.0,100%,A simple Water attack,+1 Attack Power
206,18,Toughen Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
207,18,Smack,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
208,18,Sleep,Utility,0.0,40%,"Puts your foe to Sleep for 2 turns, or until you attack them",Replenishes 5 Health
209,18,Ink Splash,Water,10.0,100%,An average Water attack,+2 Attack Power
210,18,Whammy,Physical,10.0,100%,An average Physical attack,+2 Attack Power
211,18,Toxic,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
212,18,H2O,Water,15.0,90%,A powerful Water attack,+10% Accuracy
213,18,Overwhelm,Physical,20.0,90%,A very powerful Physical attack,+10% Accuracy
214,18,Merlin's Beard,Utility,0.0,100%,Raises your Elemental Attack by 14,+3 to Buff
215,18,Sludge,Utility,0.0,100%,Lowers your foe's Defenses by 11,+3 to Debuff
216,18,Tentacle Tide,Water,3.0,100%,A simple Water attack that hits 9 times with a 60% chance to lower your foe's Accuracy by 10%,+1 Attack Power
217,19,Cinders,Fire,7.0,100%,A simple Fire attack,+1 Attack Power
218,19,Toughen Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
219,19,Bite,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
220,19,Ignite,Utility,0.0,100%,Raises your Elemental Attack by 11,+2 to Buff
221,19,Heat Wave,Fire,10.0,100%,An average Fire attack,+2 Attack Power
222,19,Feebler,Utility,0.0,100%,Lowers your foe's Defenses by 8,+2 to Debuff
223,19,Bash,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
224,19,Merciless,Utility,0.0,100%,Raises your Attacks by 9,+2 to Buff
225,19,Brimstone,Fire,20.0,95%,A very powerful Fire attack,+2 Attack Power
226,19,Thump,Physical,20.0,95%,A very powerful Physical attack,Replenishes 5 Health
227,19,Merlin's Beard,Utility,0.0,100%,Raises your Elemental Attack by 14,+3 to Buff
228,19,Coal Fire,Fire,25.0,95%,A massively powerful Fire attack that inflicts 10 AP Fire DoT for 2 turns,+5 Attack Power
229,20,Sprinkle,Water,7.0,100%,A simple Water attack,+1 Attack Power
230,20,Power Up,Utility,0.0,100%,Raises your Attacks by 5,+1 to Buff
231,20,Smack,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
232,20,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
233,20,Fin Slosh,Water,10.0,100%,An average Water attack,+3 Attack Power
234,20,Whammy,Physical,10.0,100%,An average Physical attack,+2 Attack Power
235,20,Tickle,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
236,20,Spring Shower,Water,15.0,95%,A powerful Water attack,+3 Attack Power
237,20,Sleep,Utility,0.0,40%,"Puts your foe to Sleep for 2 turns, or until you attack them",Replenishes 5 Health
238,20,Overwhelm,Physical,20.0,90%,A very powerful Physical attack,+10% Accuracy
239,20,Debilitate,Utility,0.0,100%,Lowers your foe's Defenses by 11,+3 to Debuff
240,20,Quack Attack,Water,27.0,95%,A massively powerful Water attack with a 40% chance to Confuse your foe for 1 turn,+3 Attack Power
241,21,Power Up,Utility,0.0,100%,Raises your Attacks by 5,+1 to Buff
242,21,Vines,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
243,21,Slap,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
244,21,Poison,Utility,0.0,95%,"Poisons your foe, causing 5 damage for 3 turns",+1 Attack Power
245,21,Staff Sting,Nature,10.0,100%,An average Nature attack,+30% chance to Poison for 3 turns
246,21,Feebler,Utility,0.0,100%,Lowers your foe's Defenses by 8,+2 to Debuff
247,21,Strike,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
248,21,Bloom,Nature,15.0,95%,A powerful Nature attack,Replenishes 5 Health
249,21,Wallop,Physical,20.0,95%,A very powerful Physical attack,+4 Attack Power
250,21,Unbreakable,Utility,0.0,100%,Raises your Defenses by 11,+3 to Buff
251,21,Endless Poison,Nature,10.0,90%,Inflicts Nature damage over 100 turns. 4 turns cooldown,+10% Accuracy
252,21,Tribal Terror,Nature,13.0,100%,An average Nature attack that hits 2 times and Paralyzes foe for 2 turns,+1 Attack Power
253,22,Vines,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
254,22,Shy Smile,Utility,0.0,100%,Lowers your foe's Attacks by 5,+1 to Debuff
255,22,Swipe,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
256,22,Poison,Utility,0.0,95%,"Poisons your foe, causing 5 damage for 3 turns",+1 Attack Power
257,22,Leaf Bash,Nature,10.0,100%,An average Nature attack,+2 Attack Power
258,22,Whammy,Physical,10.0,100%,An average Physical attack,+2 Attack Power
259,22,Bloom,Nature,15.0,95%,A powerful Nature attack,Replenishes 5 Health
260,22,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
261,22,Thump,Physical,20.0,95%,A very powerful Physical attack,Replenishes 5 Health
262,22,Photosynth,Utility,0.0,100%,Removes your elemental weakness,Replenishes 5 Health
263,22,Precision Guard,Utility,0.0,100%,Raises your Defenses by 8 and your Accuracy by 10%,+2 to Buff
264,22,Flower Power,Nature,18.0,90%,A powerful Nature attack that hits 2 times and heals yourself by 11 HP,+5% Accuracy
265,23,Burn,Fire,7.0,100%,A simple Fire attack,+1 Attack Power
266,23,Power Up,Utility,0.0,100%,Raises your Attacks by 5,+1 to Buff
267,23,Smack,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
268,23,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
269,23,Dark Fire Flight,Fire,11.0,100%,An average Fire attack,+3 Attack Power
270,23,Tickle,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
271,23,Bash,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
272,23,Campfire,Fire,15.0,95%,A powerful Fire attack,+3 Attack Power
273,23,Debilitate,Utility,0.0,100%,Lowers your foe's Defenses by 11,+3 to Debuff
274,23,Brimstone,Fire,20.0,95%,A very powerful Fire attack,+2 Attack Power
275,23,Bastion,Utility,0.0,100%,Raises your Elemental Defense and Physical Attack by 11,+3 to Buff
276,23,Dark Mighty Bash,Physical,4.0,100%,A simple Physical attack that hits 8 times that raises your Physical Defense and Physical Attack by 5,+1 Attack Power
277,24,Toughen Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
278,24,Wisp,Nature,7.0,100%,A simple Nature attack,+1 Attack Power
279,24,Swipe,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
280,24,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
281,24,Dark Sting,Nature,11.0,100%,An average Nature attack,+2 Attack Power
282,24,Tickle,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
283,24,Thrive,Utility,0.0,100%,Raises your Defenses by 10,+2 to Buff
284,24,Photosynth,Utility,0.0,100%,Removes your elemental weakness,Replenishes 5 Health
285,24,Blitz,Physical,10.0,90%,An average Physical attack that hits 2 times,+10% Accuracy
286,24,Mother Nature,Nature,20.0,95%,A very powerful Nature attack,+4 Attack Power
287,24,Toxic,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
288,24,Dark Bugs,Nature,25.0,100%,A massively powerful Nature attack that inflicts 6 AP Nature DoT for 2 turns,+2 Attack Power
289,25,Sprinkle,Water,7.0,100%,A simple Water attack,+1 Attack Power
290,25,Toughen Up,Utility,0.0,100%,Raises your Defenses by 5,+1 to Buff
291,25,Smack,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
292,25,Sleep,Utility,0.0,40%,"Puts your foe to Sleep for 2 turns, or until you attack them",Replenishes 5 Health
293,25,Dark Pincer Chop,Water,11.0,100%,An average Water attack,+2 Attack Power
294,25,Acid Rain,Utility,0.0,90%,"Poisons your foe, causing 10 damage for 3 turns",+5% Accuracy
295,25,Claw,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
296,25,OverWater,Utility,0.0,100%,Removes your elemental weakness,Replenishes 5 Health
297,25,Overwhelm,Physical,20.0,90%,A very powerful Physical attack,+10% Accuracy
298,25,Fortitude Rejuvenation,Utility,0.0,100%,Raises your Defenses by 10 and heals yourself by 12 HP. 2 turns cooldown,+2 to Buff
299,25,Hydro,Water,25.0,95%,A massively powerful Water attack,+4 Attack Power
300,25,Dark Clamp,Physical,16.0,100%,A powerful Physical attack that hits 2 times and raises your Defenses by 12. 2 turns cooldown,+3 Attack Power
301,26,Cinders,Fire,7.0,100%,A simple Fire attack,+1 Attack Power
302,26,Debaser,Utility,0.0,100%,Lowers your foe's Defenses by 5,+1 to Debuff
303,26,Poke,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
304,26,Poison,Utility,0.0,95%,"Poisons your foe, causing 5 damage for 3 turns",+1 Attack Power
305,26,Bombard,Fire,7.0,100%,A simple Fire attack that hits 2 times,+1 Attack Power
306,26,Tickle,Utility,0.0,100%,Lowers your foe's Attacks by 8,+2 to Debuff
307,26,Bash,Physical,15.0,95%,A powerful Physical attack,+3 Attack Power
308,26,Confuse,Utility,0.0,40%,Confuses your foe so that they may attack themselves for 2 turns,Replenishes 5 Health
309,26,Passion,Fire,20.0,95%,A very powerful Fire attack,+5 Attack Power
310,26,Merlin's Beard,Utility,0.0,100%,Raises your Elemental Attack by 14,+3 to Buff
311,26,Thump,Physical,20.0,95%,A very powerful Physical attack,Replenishes 5 Health
312,26,Liquid Magma,Fire,25.0,90%,A massively powerful Fire attack that heals yourself by 10 HP,+10 Attack Power
313,27,Spray,Water,7.0,100%,A simple Water attack,+1 Attack Power
314,27,Debaser,Utility,0.0,100%,Lowers your foe's Defenses by 5,+1 to Debuff
315,27,Hit,Physical,7.0,100%,A simple Physical attack,+1 Attack Power
